Owner,View Name,Column Name,Data Type,Data Length,Precision,Description,,,
CS,WH_B_PERSON_STU_GROUP,PERSON_SID,NUMBER,10,0,Person surrogate identification,,,
CS,WH_B_PERSON_STU_GROUP,STU_GROUP_SID,NUMBER,10,0,Student Group surrogate identification,,,
CS,WH_B_PERSON_STU_GROUP,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_B_PERSON_STU_GROUP,EFF_DT_SID,NUMBER,10,0,Effect start date surrogate identification,,,
CS,WH_B_PERSON_STU_GROUP,END_EFF_DT_SID,NUMBER,10,0,Effective end date surrogate identification,,,
CS,WH_B_PERSON_STU_GROUP,EFF_STATUS_CD,VARCHAR2,1,,"Effective Status (A- Active, I- Inactive)",,,
CS,WH_B_PERSON_STU_GROUP,EFF_START_TERM_CD,VARCHAR2,4,,Effective Start PeopleSoft Term Value,,,
CS,WH_B_PERSON_STU_GROUP,EFF_START_TERM_LD,VARCHAR2,30,,Effective Start PeopleSoft Term Long Description,,,
CS,WH_B_PERSON_STU_GROUP,EFF_END_TERM_CD,VARCHAR2,4,,Effective End PeopleSoft Term Value,,,
CS,WH_B_PERSON_STU_GROUP,EFF_END_TERM_LD,VARCHAR2,30,,Effective End PeopleSoft Term Long Description,,,
CS,WH_B_PERSON_STU_GROUP,PS_CUR_FLAG,VARCHAR2,1,,Flag (Y/N) that indicates if this row is still active in PeopleSoft ,,,
CS,WH_B_PERSON_STU_GROUP,LASTUPD_OPRID,VARCHAR2,30,,"Last updated by PeopleSoft Operator ID, this can include non-UFID values that are service accounts in PeopleSoft",,,
CS,WH_B_PERSON_STU_GROUP,COMMENTS,VARCHAR2,4000,,Comments or Notes,,,
CS,WH_B_PERSON_STU_GROUP,LASTUPD_EW_DTTM,TIMESTAMP(6),11,6,Last updated timestamp - Warehousing column and indicates when the row was last updated from a transaction commit time on the source,,,
CS,WH_B_STU_TERM,PERSON_SID,NUMBER,10,0,Person surrogate identification,,,
CS,WH_B_STU_TERM,ACAD_CAR_SID,NUMBER,10,0,Academic Career surrogate identification,,,
CS,WH_B_STU_TERM,INSTITUTION_SID,NUMBER,10,0,Institution surrogate identification,,,
CS,WH_B_STU_TERM,STU_CAR_NUM,NUMBER,,0,Student Career Number - Generated for multiple programs in the same academic career ,,,
CS,WH_B_STU_TERM,TERM_SID,NUMBER,10,0,Term surrogate identification,,,
CS,WH_B_STU_TERM,TERM_CD,VARCHAR2,4,,PeopleSoft Term Value,,,
CS,WH_B_STU_TERM,TERM_BEG_DT,NUMBER,10,0,Term begin date surrogate identification,,,
CS,WH_B_STU_TERM,TERM_END_DT,NUMBER,10,0,Term end date surrogate identification,,,
CS,WH_B_STU_TERM,UFID,VARCHAR2,11,,PeopleSoft Employee ID -  populated with UFID values,,,
CS,WH_B_STU_TERM,DT_OF_BIRTH,DATE,7,,Date of birth for the person,,,
CS,WH_B_STU_TERM,INSTITUTION_CD,VARCHAR2,5,,Institution Value - Currently all values contain UFLOR for University of Florida,,,
CS,WH_B_STU_TERM,ACAD_CAR_CD,VARCHAR2,4,,Academic Career - designates all course work undertaken by a student at an academic institution,,,
CS,WH_B_STU_TERM,AGE_YEARS,NUMBER,10,0,Age in Years of the person for the term,,,
CS,WH_B_STU_TERM,AGE_MONTHS,NUMBER,10,0,Age in Months of the person for the term,,,
CS,WH_B_STU_TERM,AGE_DAYS,NUMBER,10,0,Age in Days  of the person for the term,,,
CS,WH_B_STU_TERM,TOT_CUM_HOURS,NUMBER,8,3,Student's total cumulative hours (units) for the term,,,
CS,WH_B_STU_TERM,JUNIOR_SENIOR_FLAG,VARCHAR2,1,,Flag (Y/N) indicating if Student is a Junior or Senior ,,,
CS,WH_B_STU_TERM,TOT_HOURS_TAKEN_PROGRESS,NUMBER,22,8,Total Hours Taken for Progress,,,
CS,WH_B_STU_TERM,TOT_HOURS_TRANSFERRED,NUMBER,22,8,Total Hours Transferred,,,
CS,WH_B_STU_TERM,TOT_HOURS_TEST_CREDIT,NUMBER,22,8,Total Hours From Test Credit,,,
CS,WH_B_STU_TERM,TOT_HOURS_OTHER,NUMBER,22,8,Total Hours from Other Credit,,,
CS,WH_B_STU_TERM,TOT_HOURS_PASSED_PROGRESS,NUMBER,22,8,Total Hours Passed for Progress,,,
CS,WH_B_STU_TERM,CUR_HOURS_TAKEN_PROGRESS,NUMBER,22,8,Current Hours (Units) Taken for Progress,,,
CS,WH_B_STU_TERM,CUR_GPA,NUMBER,22,8,Current GPA for the term activity,,,
CS,WH_B_STU_TERM,CUM_GPA,NUMBER,22,8,Cumulative GPA  for all activity up to the term,,,
