View name, Description
WH_B_PERSON_STU_GROUP,maintains the effective starting date and effective end date of a person's student group and includes the history of the student groups. This is a bridge table to be joined between the fact table by PERSON_SID and the WH_D_STDNT_GROUP dimension. Student groups back to the person for tagging.
WH_B_STU_TERM,is a bridge table for the student's academic career enrollment terms. This only provides the term enrollment information bridge to the WH_D_TERM table based on the Academic Career program status of ACTIVE.  Join from fact to bridge based on PERSON_SID and where TERM_CD between the Effective Term and End Effective Term on the fact. Can bridge outwards to WH_D_TERM for term information based on TERM_SID. Additional attributes are on the bridge for information relative to the enrollment career term.
WH_D_ACAD_CAR,is a type 1 (max effective change) dimension. This dimension contains information about Academic Careers. Academic Careers designate all course work undertaken by a student at an academic institution. The join between this dimension and fact table should be with  the ACAD_CAR_SID.
WH_D_ACAD_GROUP,is a type 1 (max effective change) dimension. This dimension contains information about Academic Groups (Colleges). Academic Groups designate the code used for the school / college offering the academic program. The join between this dimension and fact table should be with the ACAD_GROUP_SID.
WH_D_ACAD_ORG,"is a type 1 (max effective change) dimension. This dimension contains information about Academic Organizations (Departments). Academic Organizations designates how an academic institution is organized from an administrative perspective. At the lowest level, an academic organization can be compared to an academic department. At the highest level, an academic organization can represent a division. This is considered the department level. The join between this dimension and fact table should be with ACAD_ORG_SID."
WH_D_ACAD_PLAN,"is a type 2 (Slow-Changing) dimension and has EFF_START_DT and EFF_END_DT that indicates when the academic plan was effective. The PS_CUR_FLAG can be used to filter which Academic Plans are active as of current time. This dimension contains information  about Academic Plans.  An academic plan is an area of study—such as a major, minor, or specialization—that is within an academic program or within an academic career. The join between this dimension and the fact table should be with ACAD_PLAN_SID."
WH_D_ACAD_PROG,is a type 2 (Slow-Changing) dimension and has EFF_START_DT and EFF_END_DT that indicates when the Academic Program was effective. The PS_CUR_FLAG can be used to filter which Academic Programs are active as of current time. This dimension contains information  about Academic Programs.  An academic program is the program to which a student applies and is admitted and from which the student graduates. The join between this dimension and the fact table should be with ACAD_PROG_SID.
WH_D_ACAD_SPLAN,"is a type 2 (Slow-Changing) dimension and has EFF_START_DT and EFF_END_DT that indicates when the Academic Sub Plan was effective. The PS_CUR_FLAG can be used to filter which Academic Sub  Plans are active as of current time. This dimension contains information  about Academic Sub Plans.  Academic sub plans are areas of further specialization within academic plans, and they are tied to academic plans. You can define an academic sub plan as a minor, a concentration, or a specialization. The join between this dimension and the fact table should be with ACAD_SPLAN_SID."
WH_D_DEGREE,is a type 1 (max effective change) dimension. This dimension contains information about Degrees and the education level. The join between this dimension and fact table should be with the DEGREE_SID.
WH_D_DEGREE_CO_STATUS,"is a type 1 (max effective change) dimension. This dimension contains information about the degree checkout information for the academic program (i.e. Awarded, Denied, Pending). The join between this dimension and the fact table should be with DEGREE_CO_STATUS_SID."
